Timestamp,Energy_Consumption,Temperature,Humidity
2025-01-01 00:00,2.9,29.6,74.0
2025-01-01 01:00,2.41,34.5,69.2
2025-01-01 02:00,3.06,18.0,60.6
2025-01-01 03:00,3.78,27.8,53.5
2025-01-01 04:00,2.4,21.7,67.0
2025-01-01 05:00,2.42,22.6,63.9
2025-01-01 06:00,3.89,22.0,69.0
2025-01-01 07:00,3.26,20.7,66.4
2025-01-01 08:00,2.29,25.2,70.5
2025-01-01 09:00,3.12,20.8,54.6
2025-01-01 10:00,2.33,26.4,73.2
2025-01-01 11:00,2.35,24.7,62.0
2025-01-01 12:00,2.93,23.8,80.8
2025-01-01 13:00,1.23,20.5,53.1
2025-01-01 14:00,1.4,22.1,77.4
2025-01-01 15:00,2.34,28.8,62.0
2025-01-01 16:00,2.0,27.5,53.5
2025-01-01 17:00,3.08,20.1,55.2
2025-01-01 18:00,2.11,25.5,56.8
2025-01-01 19:00,1.73,28.8,64.2
2025-01-01 20:00,4.04,16.7,65.2
2025-01-01 21:00,2.7,27.7,54.3
2025-01-01 22:00,2.95,21.7,59.8
2025-01-01 23:00,1.77,27.9,81.4
2025-01-02 00:00,2.49,21.2,77.3
2025-01-02 01:00,3.02,16.0,64.4
2025-01-02 02:00,2.02,16.9,60.4
2025-01-02 03:00,3.25,25.2,61.2
2025-01-02 04:00,2.48,26.3,66.1
2025-01-02 05:00,2.73,20.5,49.8
2025-01-02 06:00,2.49,28.2,57.4
2025-01-02 07:00,4.46,16.7,43.3
2025-01-02 08:00,2.98,24.7,64.0
2025-01-02 09:00,2.14,18.9,66.5
2025-01-02 10:00,3.65,21.7,55.2
2025-01-02 11:00,2.02,25.2,75.7
2025-01-02 12:00,3.17,20.7,47.7
2025-01-02 13:00,1.43,23.1,45.4
2025-01-02 14:00,1.94,30.0,62.2
2025-01-02 15:00,3.16,22.1,70.5
2025-01-02 16:00,3.59,29.2,76.8
2025-01-02 17:00,3.13,19.4,55.4
2025-01-02 18:00,2.9,27.6,70.8
2025-01-02 19:00,2.75,32.2,59.6
2025-01-02 20:00,1.8,12.6,58.3
2025-01-02 21:00,2.4,21.0,68.8
2025-01-02 22:00,2.6,27.9,66.5
2025-01-02 23:00,3.81,24.0,44.2
2025-01-03 00:00,3.23,26.9,74.8
2025-01-03 01:00,1.54,22.0,73.8
2025-01-03 02:00,3.2,25.4,53.7
2025-01-03 03:00,2.62,24.2,64.0
2025-01-03 04:00,2.37,30.8,64.9
2025-01-03 05:00,3.39,26.3,62.6
2025-01-03 06:00,3.71,26.7,54.5
2025-01-03 07:00,3.62,22.9,53.3
2025-01-03 08:00,2.19,22.6,59.7
2025-01-03 09:00,2.6,22.8,71.7
2025-01-03 10:00,3.1,27.0,65.4
2025-01-03 11:00,3.6,22.9,56.3
2025-01-03 12:00,2.42,26.4,67.7
2025-01-03 13:00,2.63,35.4,31.5
2025-01-03 14:00,1.88,29.4,71.5
2025-01-03 15:00,1.79,23.4,42.6
